19714,32
19873,32
20266,32
20926,32
21184,32
21414,32
21810,32
22309,32
22310,32
22311,32
22338,32
23353,32
22361,32
22362,32
22364,32
22369,32
22376,32
22420,32
22450,32
22455,32
22460,32
22474,32
22476,32
22510,32
22514,32
22518,32
22532,32
22533,32
22536,32
22541,32
22552,32
22556,32
22557,32
22561,32
22567,32
22573,32
22576,32
22579,32
22580,32
22587,32
22629,32
22664,32
22665,32
22675,32
22676,32
22709,32
22711,32
22723,32
22728,32
22738,32
22774,32
22779,32
22796,32
22800,32
22884,32
22892,32
22894,32
22895,32
22903,32
22905,32
22906,32
22910,32
22930,32
22995,32
23017,32
23018,32
23019,32
23027,32
23051,32
23077,32
23078,32
23112,32
23134,32
23135,32
23164,32
23165,32
23190,32
23220,32
23276,32
23284,32
23288,32
23290,32
23296,32
23301,32
23335,32
23348,32
23378,32
23389,32
23394,32
23399,32
23402,32
23410,32
23423,32
23435,32
23549,32
23550,32
23552,32
23763,32
23771,32
23773,32
23784,32
23785,32
23791,32
23794,32
23803,32
23808,32
23815,32
23836,32
23854,32
23855,32
23861,32
23877,32
23903,32
23904,32
23911,32
23923,32
23943,32
23947,32
23953,32
23958,32
23959,32
23962,32
23971,32
23974,32
23977,32
23991,32
24002,32
24015,32
24020,32
24045,32
24063,32
24064,32
24065,32
24066,32
24071,32
24072,32
24076,32
24080,32
24082,32
24084,32
24173,32
24193,32
24196,32
24197,32
24199,32
24200,32
24201,32
24202,32
24203,32
24204,32
24205,32
24206,32
24207,32
24208,32
24209,32
24210,32
24211,32
24212,32
24213,32
24214,32
24216,32
24217,32
24218,32
24220,32
24221,32
24222,32
24223,32
24224,32
24225,32
24226,32
24227,32
24228,32
24229,32
24230,32
24231,32
24233,32
24234,32
24235,32
24236,32
24237,32
24238,32
24240,32
24242,32
24243,32
24246,32
24247,32
24248,32
24249,32
24250,32
24251,32
24252,32
24253,32
24255,32
24258,32
24260,32
24261,32
24262,32
24263,32
24264,32
24265,32
24266,32
24267,32
24268,32
24269,32
24270,32
24271,32
24272,32
24273,32
24274,32
24276,32
24277,32
24278,32
24279,32
24280,32
24282,32
24289,32
24290,32
24292,32
24293,32
24296,32
24299,32
24300,32
24302,32
24304,32
24305,32
24306,32
24307,32
24308,32
24309,32
24310,32
24311,32
24312,32
24313,32
24315,32
24316,32
24317,32
24318,32
24319,32
24320,32
24321,32
24322,32
24323,32
24324,32
24325,32
24332,32
24333,32
24334,32
24335,32
24344,32
24353,32
24361,32
24364,32
24373,32
24374,32
24377,32
24393,32
24394,32
24398,32
24424,32
24428,32
24436,32
24444,32
24445,32
24447,32
24448,32
24449,32
24450,32
24464,32
24465,32
24466,32
24467,32
24471,32
24479,32
24484,32
24488,32
24505,32
24506,32
24509,32
24527,32
24549,32
24552,32
24554,32
24556,32
24569,32
24577,32
24592,32
24620,32
24634,32
24646,32
24685,32
24715,32
24717,32
24718,32
24719,32
24721,32
24723,32
24747,32
24748,32
24755,32
24760,32
24765,32
24768,32
24770,32
24773,32
24777,32
24779,32
24780,32
24787,32
24789,32
24792,32
24793,32
24794,32
24797,32
24801,32
24807,32
24819,32
24820,32
24821,32
24822,32
24823,32
24824,32
24826,32
24827,32
24829,32
2535,2
5052,2
10678,2
17113,3
17684,4
18398,3
18794,4
18806,3
18827,5
19120,6
19305,7
19627,3
19708,4
19765,8
19786,4
19818,4
19925,3
19987,9
20178,5
20344,4
20732,8
20739,5
20756,8
20841,4
20842,3
20886,3
20930,4
20933,3
20943,8
20954,3
21102,5
21105,8
21127,10
21144,8
21151,3
21161,11
21162,5
21174,4
21198,8
21235,8
21252,12
21277,5
21287,8
21297,4
21317,4
21320,13
